pl_name,pl_orbper,disc_method,disc_year,pl_orbeccen,pl_eqt,Confirmed,st_mass,st_teff,st_rad,st_lum,st_age,pl_radius_rearth
TOI-615 b,4.6615983,tran,2023,0.39,1666.0,0,1.449,6850.0,1.732,0.7679,1.7,18.978530000000003
HD 4308 b,15.56,rv,2005,0.0,815.5,0,0.93,5686.0,1.02,-0.004,4.3,4.12528
TOI-2158 b,8.60077,tran,2022,0.07,1188.0,0,1.12,5673.0,1.41,0.2308,8.0,10.7616
Kepler-1124 b,2.852348975,tran,2016,0.0,621.0,0,0.35,3658.0,0.34,-1.32347,3.39,1.2801141795000002
Kepler-1715 b,35.59730148,tran,2021,0.0,646.0,0,1.082,6212.0,1.209,0.41691,3.47,4.1407992361
Kepler-572 b,17.20523483,tran,2016,0.0,553.0,0,0.83,5212.0,0.79,-0.43426,4.68,2.5802301378
Kepler-143 c,27.082511,tran,2014,0.0,703.0,0,0.982,5848.0,1.359,0.29363,9.33,3.37421
ups Leo b,385.2,rv,2021,0.32,815.5,0,1.48,4836.0,11.22,1.80003,3.98,14.2367
Kepler-326 c,4.580358,tran,2014,0.0,889.0,0,0.91,5105.0,0.801,-0.15657,13.18,1.40125
Kepler-1299 b,19.9400874,tran,2016,0.0,588.0,0,0.94,5609.0,0.91,-0.10621,4.37,2.9802658259
HD 10442 b,1032.3,rv,2014,0.132,815.5,0,1.01,4912.0,1.97,0.31,10.65,13.5641
EPIC 212297394 b,2.289363,tran,2019,0.0,1149.0,0,0.83,5171.0,0.8,-0.46654,3.98,1.4801345458000001
Kepler-1388 b,12.2854603,tran,2016,0.0,434.0,0,0.63,4098.0,0.61,-1.1068,4.47,2.5902310272
K2-19 d,2.5081,tran,2016,0.0,1252.0,0,0.88,5322.0,0.82,-0.29196,8.0,1.1101009654
TOI-1410 c,47.56,rv,2024,0.0,815.5,0,0.7941,4635.0,0.7558,-0.6216,6.6,5.627420000000001
Kepler-1710 b,14.91110039,tran,2021,0.0,694.0,0,0.932,5650.0,0.899,-0.14261,2.69,3.1977317547000004
Kepler-241 c,36.065978,tran,2014,0.0,397.0,0,0.671,4699.0,0.668,-0.60729,13.9,2.5670900000000003
Kepler-1934 b,1.419759989,tran,2021,0.0,1700.0,0,0.968,5925.0,1.035,0.1085,3.16,0.9131603224
Kepler-101 c,6.02976,tran,2014,0.0,1413.0,0,1.17,5667.0,1.56,0.42034,5.9,1.2555200000000002
HD 177565 b,44.505,rv,2017,0.0593,815.5,0,1.0,5627.0,0.971489,-0.05395,6.88,4.00197
KPS-1 b,1.706291,tran,2018,0.0,1459.0,0,0.892,5165.0,0.907,-0.35281,3.98,11.5463
Kepler-58 c,15.5741568,tran,2012,0.0,799.0,0,0.95,5843.0,1.03,-0.00422,2.14,2.85855
Kepler-845 b,0.927859821,tran,2016,0.0,1361.0,0,0.79,4913.0,0.75,-0.60474,4.79,2.0401819981
Kepler-1968 b,7.281099796,tran,2021,0.0,744.0,0,0.844,5008.0,0.788,-0.64972,3.98,1.5001767927000003
Kepler-106 d,23.9802,tran,2014,0.0,649.0,0,1.0,5858.0,1.04,0.08255,4.83,0.9528500000000001
Kepler-630 b,161.4743937,tran,2016,0.0,343.0,0,1.02,5829.0,1.04,0.30233,4.47,3.1802837260000003
HD 102117 b,20.8133,rv,2005,0.12,815.5,0,1.06,5655.0,1.23,0.15737,10.0,8.47476
LHS 475 b,2.029088,tran,2023,0.0,586.0,0,0.262,3300.0,0.2789,-2.06449,3.98,0.9910901125
GJ 393 b,7.02679,rv,2021,0.0,485.0,0,0.426,3579.0,0.426,-1.57073,3.98,1.16584
Qatar-7 b,2.032046,tran,2019,0.0,2053.0,0,1.409,6387.0,1.564,0.56348,1.69,19.057000000000002
